250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+13800,-2.17,20180424,-7280,+85.44,20170518,11376,267,8.17,1.19,50.56,5.6,+126.85,369229,12,+13800,13300,232,2,9840,+1.50,12810,34500,+17250,-13050,4658,,+1.17,5000,원,+13800,-10000,296,-0,0,+11.46,1725,-13000,+200,휴비스,079980,-9350,+13500
+8770,-27.48,20171124,-6020,+5.65,20170517,5980,288,4.35,1.06,22.08,5.3,+287.30,40484,12,+6520,6450,206,5,4770,-1.40,14310,46822,+8380,6450,2978,,+0.48,1000,원,+7910,-6320,772,-0,0,+8.31,468,-6320,-90,AJ네트웍스,095570,-4520,-6360
+144000,-91.18,20170530,-11600,+9.48,20180308,19215,3816,7.34,0.66,3.33,428.6,+218.85,508335,12,+12850,12550,34979,2,8780,+1.20,1238,95369,+16300,+12650,12112,,+0.96,1000,원,+16000,-11600,104,-0,0,+13.84,954,-12400,+150,BGF,027410,-8800,+12700
+200000,-21.75,20170607,-119500,+30.96,20180308,102843,3166,14.15,1.52,49.43,1.3,+295.79,126458,12,+160500,153000,389,2,116280,+2.29,71104,22812,+198500,+158500,35701,,+0.28,5000,원,+160500,-119500,2357,-0,0,+17.26,1141,+155000,+3500,CJ대한통운,000120,-107500,+156500
+417500,-17.84,20171121,-316000,+8.54,20180420,235302,19522,8.54,1.46,17.57,10.9,+201.47,59988,12,+343000,334500,4128,2,254220,+2.54,164772,15053,+434500,+337500,51632,,+0.39,5000,원,+394000,-316000,7766,-0,0,+20.73,753,+335000,+8500,CJ제일제당,097950,-234500,+343000
+10800,-20.93,20170622,-6600,+29.39,20171116,12482,278,4.16,0.68,30.72,3.0,+210.39,358764,12,-8900,9080,289,5,6530,-5.95,11199,77447,+11800,-8900,6614,,+0.97,2500,원,+9990,-6820,729,-0,0,+11.23,1936,-8540,-540,CJ헬로,037560,-6360,-8540
+5230,-10.52,20180129,-3275,+42.90,20170926,14326,3,,0.33,1560.00,0.7,-93.51,86618,12,+4700,4665,154,2,3260,+0.32,2220,42446,+6060,4665,1986,,+1.32,5000,원,+5230,-3785,224,-0,0,+7.03,2122,-4605,+15,DB금융투자,016610,-3270,+4680
+34600,-57.66,20170608,-12100,+21.07,20180417,10682,1146,10.96,1.37,12.78,12.8,+751.51,199835,12,+14800,13100,238,2,9430,+11.83,2640,16460,+17000,13100,2411,,+0.75,500,원,+15550,-12100,148,-0,0,+5.43,82,-13050,+1550,HDC아이콘트롤스,039570,-9200,+14650
+7290,-9.19,20180207,-3000,+120.67,20170419,6431,458,,1.03,14.45,7.7,+116.95,698448,12,+6650,6520,363,2,4690,+1.53,2327,60314,+8470,-6510,3993,,+2.14,5000,원,+7290,-3570,428,-0,0,+22.77,3016,-6350,+100,KTB투자증권,030210,-4570,+6620
+1371000,-0.07,20180430,-801000,+71.04,20170419,142927,33905,20.06,9.59,40.41,21.9,+105.36,42548,12,+1371000,1297000,6186,2,985720,+5.63,62705,15618,+1686000,+1300000,213969,,+0.03,5000,원,+1371000,-1045000,9303,-0,0,+46.51,781,1297000,+73000,LG생활건강,051900,-908000,+1370000
+17900,-31.28,20170627,-11700,+5.13,20180413,11054,1129,3.26,1.11,10.89,10.9,-90.14,1155074,12,+12400,12350,5471,5,9380,-0.40,122794,436611,+16050,12350,53703,,+0.30,5000,원,+15800,-11700,8263,-0,0,+78.91,25740,-12150,-50,LG유플러스,032640,-8650,-12300
+114500,-10.92,20180322,-66300,+53.85,20170727,66288,422,5.35,1.54,241.71,13.7,-79.74,575630,12,+103500,101500,18695,2,77140,+0.49,613963,163648,+131500,+102500,166921,,+0.44,5000,원,+114500,-93400,24685,-0,0,+34.70,8182,+102000,+500,LG전자,066570,-71500,+102000
+3515,-3.84,20180425,-2835,+19.22,20171227,7650,0,51.25,0.44,0.00,3.4,+100.22,16071,12,+3435,3400,206,5,2440,-0.59,4434,78803,+4420,+3435,2664,,+0.09,5000,원,+3515,-2875,28,-0,0,+0.12,3940,-3375,-20,LS네트웍스,000680,-2380,-3380
+85700,-28.12,20170703,-60500,+1.82,20170814,74766,651,10.39,0.82,94.62,1.1,+234.08,86938,12,+62600,62300,87,5,44850,-1.12,9091,19565,+80900,-61900,12052,,+1.86,500,원,+83900,-60500,347,-0,0,+10.72,98,-61100,-700,NHN엔터테인먼트,181710,-43700,-61600
